Rank,Title,Author,Publisher,PublishDate,Price,Rating,ReviewCount,Link
684,죽음의 스프링 배치 6,KILL-9,에이콘출판사,2026년 05월,30600,7.5,8,https://www.yes24.com/product/goods/189428579
685,데이터 분석 오답 노트,"주정민, 허현",영진닷컴,2026년 05월,22500,9.9,24,https://www.yes24.com/product/goods/189238126
686,시골서 AI와 놀다보니 책이 됐다,김경래,한문화사,2026년 05월,16200,10.0,2,https://www.yes24.com/product/goods/189185961
687,AI 탐구 수업,정종수,플루토,2026년 05월,15300,9.6,5,https://www.yes24.com/product/goods/189115597
688,매출을 만드는 데이터 분석 with 챗GPT,조선미,길벗,2026년 05월,28800,9.3,3,https://www.yes24.com/product/goods/189045142
689,"AI, 글쓰기, 저작권",정지우,마름모,2026년 05월,10800,8.0,2,https://www.yes24.com/product/goods/189007418
690,코어 스테이블코인,"박재현, 박지수",한빛미디어,2026년 05월,21600,10.0,6,https://www.yes24.com/product/goods/188906223
691,맛있는 디자인 애프터 이펙트 CC 2026,이수정,한빛미디어,2026년 04월,24300,9.8,26,https://www.yes24.com/product/goods/188859267
692,AI디톡스,정강재,BOOKK(부크크),2026년 04월,21600,,0,https://www.yes24.com/product/goods/188831261
693,내 손안에 일상이 되는 ChatGPT&Gemini,"김아진, 윤이음",예문랩,2026년 05월,13500,,0,https://www.yes24.com/product/goods/188601208
694,그림으로 배우는 리눅스,"카와노 고토부키, 김성훈",영진닷컴,2026년 05월,18000,,0,https://www.yes24.com/product/goods/188270269
695,클린 아키텍처 with 파이썬,"샘 킨, 송영숙",한빛미디어,2026년 04월,29700,9.8,8,https://www.yes24.com/product/goods/188253761
696,기계가 언어를 사용한다는 것에 대한 인문학적 사유,"마크 코켈버그, 데이비드 J.건컬, 신동숙, 손화철",생각이음,2026년 04월,17100,10.0,2,https://www.yes24.com/product/goods/188188392
697,코딩 자율학습 나도코딩의 자바 입문,나도코딩,길벗,2026년 05월,26100,9.3,6,https://www.yes24.com/product/goods/188015989
698,AI와 청소년 윤리 교육,고정아,커뮤니케이션북스,2026년 04월,12000,,0,https://www.yes24.com/product/goods/187927604
699,Access(액세스) VBA 길잡이,김중광,다솜출판사,2024년 04월,26100,,0,https://www.yes24.com/product/goods/187593533
700,"애플, 파괴적 혁신의 시작","레인 누니, 오현석, 박기성",책만,2026년 04월,23400,9.8,13,https://www.yes24.com/product/goods/187313988
701,다시 찾는 디지털 서비스를 만드는 8가지 법칙,권혜민,제이펍,2026년 04월,18000,9.9,19,https://www.yes24.com/product/goods/187307360
702,하이러닝으로 끝내는 AI 디지털 수업 50제,"유지현, 조윤호, 고윤경, 진연자, 곽지현, 정보 더 보기/감추기, 유지현, 조윤호, 고윤경, 진연자, 곽지현, 최혜진, 최정은, 조희정, 조연영, 이성찬, 허윤영, 정승연",한빛미디어,2026년 04월,21600,10.0,101,https://www.yes24.com/product/goods/187222189
703,피지컬 AI와 에이전틱 AI가 바꾸는 미래,"권오형, 최재용, 김보성, 김은희, 김재연, 정보 더 보기/감추기, 권오형, 최재용, 김보성, 김은희, 김재연, 나병인, 유채린, 임기정, 차승희, 최소은, 김진선",미디어북,2026년 04월,20000,10.0,19,https://www.yes24.com/product/goods/187050404
704,바이브 코딩 항해일지,동준상,에이콘출판사,2026년 04월,25200,10.0,2,https://www.yes24.com/product/goods/186936120
705,7일 단기 완성 해킹 입문,"노미조 노미조, 심중은",제이펍,2026년 04월,25200,10.0,1,https://www.yes24.com/product/goods/186686870
706,제미나이(Gemini) 재미나게 활용하기,"강신진, 서완석, 오정택",BOOKK(부크크),2026년 04월,18300,,0,https://www.yes24.com/product/goods/186675967
707,구글 AI 제미나이(Gemini) 200% 활용법,정의,BOOKK(부크크),2026년 04월,8800,,0,https://www.yes24.com/product/goods/186675889
708,"AI시대, 스토리텔링의 재탄생",김태원,파람북,2026년 04월,17100,10.0,3,https://www.yes24.com/product/goods/186141317
709,AI 교양 수업,최윤철,생능북스,2026년 04월,16650,9.8,23,https://www.yes24.com/product/goods/185896235
710,"그냥 따라하다 배우는, 나노바나나 100선",이재용,비엘북스,2026년 04월,19800,,0,https://www.yes24.com/product/goods/185721925
711,프롬프트 지옥에서 탈출하는 Claude Code 개발 자동화 시스템,"박현일, 조용현",BOOKK(부크크),2026년 03월,37000,2.0,1,https://www.yes24.com/product/goods/185523191
712,AI와 철도 산업,우지환,커뮤니케이션북스,2026년 04월,12000,,0,https://www.yes24.com/product/goods/185459193
713,입상 교사만 아는 아무도 말해주지 않은 디지털교육연구대회 1등급의 비밀,강인성,앤써북,2026년 04월,15120,10.0,15,https://www.yes24.com/product/goods/184642019
714,Play! SOLIDWORKS 솔리드웍스 2026 Master,원동현,청담북스,2026년 03월,33250,,0,https://www.yes24.com/product/goods/184510723
715,투닝,김은지,문화출판더하다,2026년 03월,19800,,0,https://www.yes24.com/product/goods/184510719
716,[할 수 있다!] 파워포인트 2021 활용,정동임,시대인,2026년 04월,10800,9.8,10,https://www.yes24.com/product/goods/184478217
717,예제가 가득한 제미나이 길라잡이,이승우,정보문화사,2026년 04월,15120,9.9,25,https://www.yes24.com/product/goods/184402617
718,LUVIT♥ 클로드와 함께하는 LLM 프로젝트,이승우,제이펍,2026년 04월,34200,10.0,2,https://www.yes24.com/product/goods/184312468
719,스프링 부트 4 개발자 되기 + AI : 자바 편,신선영,골든래빗,2026년 04월,30600,8.0,2,https://www.yes24.com/product/goods/183794163
720,모두를 위한 진짜 쎈 바이브 코딩 with 인스타그램 클론 코딩,"전병우, 박윤철, 노마드코알라",리코멘드,2026년 04월,25200,9.8,26,https://www.yes24.com/product/goods/183754093
721,Vertex AI와 Gemini로 시작하는  생성형 AI 실전 개발,김민형,디지털북스,2026년 04월,28800,,0,https://www.yes24.com/product/goods/183714326
722,할 수 있다! 구글 크롬 기초&활용 with AI,IT교재연구팀,시대인,2026년 04월,10800,9.8,12,https://www.yes24.com/product/goods/183702987
723,30가지 예제로 따라 하며 배우는 ComfyUI 클라우드,"여승호, 신무경",제이펍,2026년 03월,19800,10.0,9,https://www.yes24.com/product/goods/183072607
724,"된다! 제미나이, 클로드, 챗GPT AI 챗봇 만들기","이재윤, 정해준",이지스퍼블리싱,2026년 03월,18900,9.5,15,https://www.yes24.com/product/goods/182958115
725,AI 시대의 IT 로컬라이제이션,"정성희, 오오코시 히토미",커뮤니케이션북스,2026년 03월,12000,,0,https://www.yes24.com/product/goods/182892802
726,30일 완성 제미나이 업무 혁명,AI싱크클럽(이재만),루비페이퍼,2026년 04월,23400,9.9,45,https://www.yes24.com/product/goods/182813489
727,생성형 AI 시대 수학 교육,"유주연, 정민주",커뮤니케이션북스,2026년 03월,12000,,0,https://www.yes24.com/product/goods/182476796
728,GPT-5와 ChatGPT로 시작하는 멀티모달 AI 프로그래밍 실전 입문,"후루카와 히데카즈, 최용",위키북스,2026년 03월,28800,,0,https://www.yes24.com/product/goods/182457817
729,A2A × MCP 멀티에이전트 오케스트레이션 실전,서지영,길벗,2026년 03월,29700,9.6,16,https://www.yes24.com/product/goods/182413407
730,제미나이로 구글·이미지·영상·자동화 진짜 잘함,이호정,리코멘드,2026년 03월,16920,10.0,21,https://www.yes24.com/product/goods/182116268
731,상업용 AI 음악제작,최이진,노하우(도서출판),2026년 03월,29700,,0,https://www.yes24.com/product/goods/181819691
732,피지컬 AI 컴퓨팅 모빌리티 기초동작 편,"김석진, 박경민, 신승호, 김학진",골든벨,2026년 03월,28500,,0,https://www.yes24.com/product/goods/181126230
733,언리얼 엔진5 모바일 게임 만들기,강상용,BOOKK(부크크),2026년 03월,32000,,0,https://www.yes24.com/product/goods/181125079
734,"로봇, 그리고 로봇을 사랑하는 사람들","이브 헤롤드, 김창규",현암사,2026년 03월,18000,10.0,10,https://www.yes24.com/product/goods/181123366
735,가상 면접 사례로 배우는 생성형 AI 서비스 설계,"알리 아미니안, 하오 성, 김지호, 조윤민",인사이트(insight),2026년 03월,30600,,0,https://www.yes24.com/product/goods/181114947
736,아두이노제어 with generative AI,장인갑,내하출판사,2026년 03월,20000,,0,https://www.yes24.com/product/goods/181001457
737,안티그래비티 바이브 코딩 입문,박규하,로드북,2026년 03월,22500,10.0,11,https://www.yes24.com/product/goods/180485366
738,n8n 업무 자동화 일잘러 되기,"메이허, 에디 유",골든래빗,2026년 03월,32400,10.0,30,https://www.yes24.com/product/goods/180468863
739,Security Guide 2026 (V.21) - 공격용 AI vs 방어용 AI,편집부,(주)화산미디어,2026년 02월,28500,,0,https://www.yes24.com/product/goods/180335965
740,5분 제미나이,오종현,한빛미디어,2026년 02월,21600,9.9,34,https://www.yes24.com/product/goods/180162710
741,슬기로운 교사 생활 구글 클래스룸 수업 활용법,유수근,골든래빗,2026년 03월,24120,9.9,108,https://www.yes24.com/product/goods/180158155
742,C++로 배우는 자료구조 및 알고리즘,"Frank M. Carrano, 송하윤",프로텍미디어,2026년 02월,44000,,0,https://www.yes24.com/product/goods/180138780
743,가장 쉬운 AI 앱 빌더 DIfy 실무 가이드,"오노 사토시, 두발타고",AK(에이케이 커뮤니케이션즈),2026년 02월,40850,,0,https://www.yes24.com/product/goods/179607096
744,코딩으로 피어나는 스마트팜 with 인공지능,"표정완, 장원규",딩코랩,2026년 02월,20900,,0,https://www.yes24.com/product/goods/179606150
745,"문제 해결의 힘, 컴퓨팅 사고력",한옥영,성균관대학교출판부(SKKUP),2026년 02월,25000,,0,https://www.yes24.com/product/goods/179605419
746,"세상을 복제하는 공장, Physical AI 데이터팩토리",손병희,꾸그티처스,2026년 02월,13500,2.0,2,https://www.yes24.com/product/goods/178728913
