순위	제목	저자	출판사	출간일	판매가	정가	할인율	링크	이미지
426	바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다	애디 오스마니	한빛미디어	2025년 11월	20,700	23,000	10.0	https://www.yes24.com/product/goods/163601068	https://image.yes24.com/goods/163601068/L
427	멘토시리즈 일러스트레이터	코리아교육그룹 연구소	코리아교육그룹	2025년 09월	25,200	28,000	10.0	https://www.yes24.com/product/goods/163496515	https://image.yes24.com/goods/163496515/L
428	MCP 실전 활용 & 서버 개발 핵심 가이드	AI튜터랩	위키북스	2025년 11월	25,200	28,000	10.0	https://www.yes24.com/product/goods/162224477	https://image.yes24.com/goods/162224477/L
429	그림으로 이해하는 챗GPT 구조와 기술	나카타니 슈요	길벗	2025년 11월	21,600	24,000	10.0	https://www.yes24.com/product/goods/162116171	https://image.yes24.com/goods/162116171/L
430	챗GPT, 저는 이렇게 쓰고 있어요	최소영	길벗	2025년 11월	16,920	18,800	10.0	https://www.yes24.com/product/goods/160131631	https://image.yes24.com/goods/160131631/L
431	똑똑한 파이썬	황재호	인포앤북	2025년 11월	19,800	22,000	10.0	https://www.yes24.com/product/goods/159376881	https://image.yes24.com/goods/159376881/L
432	회사에서 바로 통하는 엑셀 FOR STARTERS	전미진	한빛미디어	2025년 10월	15,300	17,000	10.0	https://www.yes24.com/product/goods/159168206	https://image.yes24.com/goods/159168206/L
433	실무에 바로 쓰는 일잘러의 챗GPT 프롬프트 74가지	이석현	제이펍	2025년 10월	19,800	22,000	10.0	https://www.yes24.com/product/goods/159060578	https://image.yes24.com/goods/159060578/L
434	유니티 교과서	김은철	길벗	2025년 10월	29,700	33,000	10.0	https://www.yes24.com/product/goods/158708037	https://image.yes24.com/goods/158708037/L
435	스케치업 2025 with Ruby+Twinmotion	황두환	시대인	2025년 10월	25,200	28,000	10.0	https://www.yes24.com/product/goods/157774663	https://image.yes24.com/goods/157774663/L
436	AI로 만드는 나만의 그림책	민진홍	성안당	2025년 10월	22,500	25,000	10.0	https://www.yes24.com/product/goods/155149859	https://image.yes24.com/goods/155149859/L
437	요즘 당근 AI 개발	당근 팀	골든래빗	2025년 10월	19,800	22,000	10.0	https://www.yes24.com/product/goods/154566057	https://image.yes24.com/goods/154566057/L
438	된다! 네이버 스마트스토어	이경근	이지스퍼블리싱	2025년 10월	21,600	24,000	10.0	https://www.yes24.com/product/goods/154288390	https://image.yes24.com/goods/154288390/L
439	Do it! 커서로 시작하는 AI 코딩 입문	고경희	이지스퍼블리싱	2025년 09월	20,700	23,000	10.0	https://www.yes24.com/product/goods/154286556	https://image.yes24.com/goods/154286556/L
440	마인크래프트 RPG 만들기	우마공 운영진	영진닷컴	2025년 09월	17,820	19,800	10.0	https://www.yes24.com/product/goods/154102499	https://image.yes24.com/goods/154102499/L
441	블렌더 3D CG 애니메이션 실전 입문	나츠모리 카츠	AK(에이케이 커뮤니케이션즈)	2025년 09월	37,810	39,800	5.0	https://www.yes24.com/product/goods/153663554	https://image.yes24.com/goods/153663554/L
442	VPython으로 시작하는 융합 시뮬레이션 수업	송석리	길벗	2025년 09월	22,500	25,000	10.0	https://www.yes24.com/product/goods/152815857	https://image.yes24.com/goods/152815857/L
443	데이터 시각화와 탐색 with POWER BI 3rd	마경근	영진닷컴	2025년 09월	27,000	30,000	10.0	https://www.yes24.com/product/goods/152443479	https://image.yes24.com/goods/152443479/L
444	AI 캡컷	민지영	생능북스	2025년 09월	23,400	26,000	10.0	https://www.yes24.com/product/goods/152369808	https://image.yes24.com/goods/152369808/L
445	코딩 자율학습 리액트 프런트엔드 개발 입문	김기수	길벗	2025년 09월	37,800	42,000	10.0	https://www.yes24.com/product/goods/151667493	https://image.yes24.com/goods/151667493/L
446	회사에서 바로 통하는 오토캐드 AutoCAD 2026	심미현	한빛미디어	2025년 08월	26,100	29,000	10.0	https://www.yes24.com/product/goods/151041605	https://image.yes24.com/goods/151041605/L
447	실전! 프로젝트로 배우는 딥러닝 컴퓨터비전	김혜진	위키북스	2025년 08월	31,500	35,000	10.0	https://www.yes24.com/product/goods/150619242	https://image.yes24.com/goods/150619242/L
448	오늘을 남기는 기록, 스마트폰 사진 촬영&보정	민썸	이지스퍼블리싱	2025년 08월	18,900	21,000	10.0	https://www.yes24.com/product/goods/150308211	https://image.yes24.com/goods/150308211/L
449	AI와 심리상담	황매향	커뮤니케이션북스	2025년 08월	11,400	12,000	5.0	https://www.yes24.com/product/goods/149866394	https://image.yes24.com/goods/149866394/L
450	MS 365의 모든 것	이상민	리더북스	2025년 07월	16,200	18,000	10.0	https://www.yes24.com/product/goods/149371895	https://image.yes24.com/goods/149371895/L
451	모두의 인공지능 with 파이썬	이영호	길벗	2025년 07월	27,000	30,000	10.0	https://www.yes24.com/product/goods/149224228	https://image.yes24.com/goods/149224228/L
452	스포츠, AI와 동행하다	크리스 브래디	성안당	2025년 07월	18,000	20,000	10.0	https://www.yes24.com/product/goods/148919900	https://image.yes24.com/goods/148919900/L
453	암호, 비밀을 지키는 과학	파노스 루리다스	프리렉	2025년 07월	19,800	22,000	10.0	https://www.yes24.com/product/goods/148376804	https://image.yes24.com/goods/148376804/L
454	파인만의 컴퓨터 강의	리처드 파인만	한빛미디어	2025년 06월	26,100	29,000	10.0	https://www.yes24.com/product/goods/147738180	https://image.yes24.com/goods/147738180/L
455	게임 UI 디자인 교과서	이은정	길벗캠퍼스	2025년 06월	33,000	33,000	nan	https://www.yes24.com/product/goods/147561128	https://image.yes24.com/goods/147561128/L
456	처음이야? 파이썬 데이터 분석	윤영빈	영진닷컴	2025년 06월	19,800	22,000	10.0	https://www.yes24.com/product/goods/147129792	https://image.yes24.com/goods/147129792/L
457	AI와 비판적 포스트휴머니즘	박휴용	커뮤니케이션북스	2025년 06월	12,000	12,000	nan	https://www.yes24.com/product/goods/147056022	https://image.yes24.com/goods/147056022/L
