Rank,Title,Author,Publisher,PublishDate,Price,Rating,ReviewCount,Link,Description
926,일러스트와 만화를 위한 포즈 노하우,"마츠오카 신지, 고영자",영진닷컴,2025년 04월,18000,9.8,9,https://www.yes24.com/product/goods/144220706,"일러스트와 만화를 위한 포즈 노하우. 일러스트와 만화에 등장하는 캐릭터는 의상을 착용한 상태에서 포즈를 취하는 경우가 많지만, 의상의 탄력이나 주름 등은 캐릭터의 신체 움직임에 따라 변화합니다. 그러므로 입고 있는 옷을 벗은 상태 즉, 소체로 포즈를 취할 수 ..."
927,"AI, 공정과 편향","박규동, 김근혜",커뮤니케이션북스,2025년 03월,12000,,0,https://www.yes24.com/product/goods/144165612,"AI, 공정과 편향. AI는 스마트폰, 자율주행, 의료, 금융 등 우리의 삶 전반을 혁신적으로 변화시키고 있다. 그러나 이 기술이 공정성을 해치고 기존의 사회적 편견을 강화한다면 어떻게 될까? 이 책은 바로 그 질문에서 출발한다. AI의 편향이 개인의 기회를 ..."
928,교사를 위한 생성형 AI 활용 수업,김종혜,생능북스,2025년 04월,14400,9.6,15,https://www.yes24.com/product/goods/144129260,교사를 위한 생성형 AI 활용 수업. 생성형 AI를 수업에 쉽게 적용할 수 있도록 돕는 기초 안내서인공지능 기술이 발전하면서 교육 현장에서도 이를 활용한 다양한 수업이 이루어지고 있다. 이에 따라 이 책을 통해 교사들이 쉽게 따라 할 수 있는 다양한 프로젝트 ...
929,CATIA(카티아) 쉽게 따라하기,정경애,구민사,2025년 04월,28800,,0,https://www.yes24.com/product/goods/144048800,"CATIA(카티아) 쉽게 따라하기. CATIA는 3D 모델링 프로그램 중 하나로서 주로 항공, 선박, 자동차 설계 등에 많이 활용되고 있는 설계 프로그램이다. 다른 3D 프로그램보다 옵션의 기능이 조금 더 많아서 배우기에는 조금 까다로울 수 있지만 더 다양한 ..."
930,50개의 프로젝트로 완성하는 파이썬 업무 자동화,오토코더,위즈앤북,2025년 03월,19800,10.0,12,https://www.yes24.com/product/goods/144043578,"50개의 프로젝트로 완성하는 파이썬 업무 자동화. 퀴즈와 QR 코드 생성부터 나만의 음성 비서 제작까지 다양한 프로젝트 대공개!문서 번역, 파일 분류, 데이터 분석, 엑셀 문서, 영상 다운로드 등의 업무 자동화!뉴스, 날씨, 주식, 핫딜, 환율, 이커머스, 이..."
931,우아한 C 언어 코딩 패턴,"크리스토퍼 프레셰른, 정기훈",인사이트(insight),2025년 04월,28800,10.0,1,https://www.yes24.com/product/goods/144026018,"우아한 C 언어 코딩 패턴. C 프로그래밍에 대한 전문가의 조언은 정말로 찾기 쉽지 않다. 객체 지향 프로그래밍 언어에 대한 지침서는 굉장히 많지만, 이보다 더 오래된 언어인 C 언어에 대한 도움말은 거의 없다. 『우아한 C 언어 코딩 패턴』은 대규모 프로그램..."
932,김변호사의 스마트한 AI 활용법,김변호사 팀,(주)박영사,2025년 03월,18000,8.0,1,https://www.yes24.com/product/goods/144024813,"김변호사의 스마트한 AI 활용법. 『김변호사의 스마트한 AI 활용법』은 60여 명의 변호사님들과 함께한 ‘김변호사 AI 스터디’를 바탕으로 ‘AI 시대의 변호사 업무 혁신’의 정수를 담았다. 또한, 고려대학교 ESEL 데이터·AI 법 최고위과정에서 최고의 후기..."
933,AI 사고철학,"이준헌, 조민호",더로드,2025년 03월,18000,10.0,1,https://www.yes24.com/product/goods/143666426,"AI 사고철학. 『AI 사고철학』은 인공지능, 특히 Chat GPT와 같은 대형언어모델(LLM)이 데이터를 학습하는 원리와, 인간의 학습 과정을 비교하여 부모와 교육자들에게 새로운 교육 패러다임을 제시하는 책이다. LLM의 학습 프로세스는 기본적으로 Data ..."
934,랭체인 & 랭그래프로 AI 에이전트 개발하기,서지영,길벗,2025년 03월,26100,9.6,24,https://www.yes24.com/product/goods/143646468,"랭체인 & 랭그래프로 AI 에이전트 개발하기. LLM만으로 항공권 예약 같은 작업이 가능할까? AI 에이전트라면 가능하다!랭체인, 랭그래프, 랭스미스, 오토젠, AutoGPT, 크루AI, 라마인덱스로 똑똑한 AI 서비스를 만들어 보자!LLM의 최신 트렌드와 A..."
935,한 권으로 끝내는 미드저니,민자경,에듀웨이,2025년 04월,20700,9.0,12,https://www.yes24.com/product/goods/143604796,"한 권으로 끝내는 미드저니. 생성형 AI 미드저니 최신 기능 수록AI 기술의 발전으로 이미지 생성형 AI가 창작의 방식을 변화시키고 있으며, 미드저니는 혁신적인 도구로 자리 잡았다. 콘셉트 아트, 배경, 캐릭터 디자인 등 영상 제작의 기초적인 이미지 요소를 신..."
